channel_url,nationality,joined_on,subscribers,videos_count,total_views
https://www.youtube.com/@TheVerge,United States,"Aug 7, 2006",3.45M subscribers,"5,353 videos","1,083,304,184 views"
https://www.youtube.com/@Apple,United States,"Jun 21, 2005",20M subscribers,194 videos,"1,080,529,261 views"
