channel_url,nationality,joined_on,subscribers,videos_count,total_views
https://www.youtube.com/@MaxTechOfficial,United States,"Sep 21, 2018",1.24M subscribers,"1,888 videos","423,936,917 views"
https://www.youtube.com/@Mrwhosetheboss,United Kingdom,"Apr 20, 2011",21M subscribers,"1,811 videos","7,056,346,297 views"
